passenger_id,name,sex,age,role,ship,destination,clan_origin,armor,provisions_kg,family_aboard,prior_voyages,survived
1,Finn Ulfsson,Male,25.0,Thrall,Bison,Lindisfarne,Borg,None,2.0,3,0,0
2,Styrbjörn Bjørnsson,Male,41.0,Karl,Ormen Lange,Normandy,Kaupang,None,4.3,0,2,0
3,Bjørn Sigurdsson,Male,29.0,Hirdman,Sjøulven,Iceland,Borg,Chainmail,132.2,1,3,1
4,Runa Bjørnsdóttir,Female,32.0,Thrall,Ormen Lange,Normandy,Nidaros,,2.7,1,0,0
5,Dag Sigurdsson,Male,26.0,Karl,Sjøulven,Lindisfarne,Nidaros,Leather,35.7,3,2,0
6,Ketil Grimsson,Male,32.0,Karl,Bison,Iceland,Nidaros,None,30.0,0,0,1
7,Liv Ulfsdóttir,Female,43.0,Karl,Ormen Lange,Iceland,Nidaros,Leather,2.3,3,1,1
8,Ivar Bjørnsson,Male,,Karl,Bison,Lindisfarne,Nidaros,Leather,15.1,1,0,0
9,Kolbjørn Grimsson,Male,42.0,Karl,Hrafnkell,Lindisfarne,Nidaros,None,23.5,2,0,0
10,Ragnhild Sigurdsdóttir,Female,23.0,Karl,Ormen Lange,Miklagard,Nidaros,Leather,31.8,1,2,1
11,Ingrid Bjørnsdóttir,Female,41.0,Karl,Ormen Lange,Miklagard,Borg,,52.2,0,3,1
12,Ragnar Haraldsson,Male,29.0,Karl,Ormen Lange,Normandy,Borg,None,24.8,3,1,0
13,Ulf Grimsson,Male,32.0,Karl,Drakvinge,Iceland,Borg,,33.9,0,1,0
14,Hilde Sigurdsdóttir,Female,28.0,Thrall,Hrafnkell,Lindisfarne,Nidaros,None,3.9,3,0,1
15,Freya Sigurdsdóttir,Female,28.0,Karl,Ormen Lange,Normandy,Borg,,24.0,2,0,1
16,Orm Sigurdsson,Male,35.0,Karl,Bison,Lindisfarne,Borg,None,5.8,3,1,0
17,Astrid Ketilsdóttir,Female,52.0,Jarl,Ormen Lange,Iceland,Nidaros,Lamellar,107.7,0,3,1
18,Gunnar Ragnarsson,Male,53.0,Karl,Bison,Vinland,Nidaros,None,3.1,1,0,0
19,Finn Sigurdsson,Male,44.0,Jarl,Hrafnkell,Iceland,Nidaros,Lamellar,2.0,1,8,1
20,Thyra Sigurdsdóttir,Female,14.0,Thrall,Hrafnkell,Lindisfarne,Kaupang,None,8.6,1,1,1
21,Geir Sigurdsson,Male,,Hirdman,Ormen Lange,Iceland,Kaupang,None,27.7,0,1,1
22,Liv Arnesdóttir,Female,,Thrall,Sjøulven,Vinland,Borg,None,2.8,2,0,0
23,Gunnhild Sigurdsdóttir,Female,,Karl,Ormen Lange,Miklagard,Nidaros,,40.1,3,2,1
24,Freya Bjørnsdóttir,Female,46.0,Thrall,Bison,Normandy,Borg,None,12.5,1,2,1
25,Thorvald Ormsson,Male,29.0,Thrall,Bison,Normandy,Nidaros,None,10.5,1,0,0
26,Geir Ketilsson,Male,,Karl,Ormen Lange,Normandy,Nidaros,Leather,43.5,1,0,0
27,Håkon Sigurdsson,Male,24.0,Thrall,Bison,Normandy,Nidaros,None,3.7,4,0,0
28,Arne Sigurdsson,Male,,Karl,Ormen Lange,Normandy,Nidaros,None,13.9,2,1,1
29,Knut Ulfsson,Male,23.0,Karl,Sjøulven,Vinland,Nidaros,,17.1,0,0,0
30,Thorvald Sigurdsson,Male,24.0,Hirdman,Hrafnkell,Miklagard,Nidaros,,86.4,0,0,1
31,Eirik Torsteinsson,Male,20.0,Thrall,Drakvinge,Vinland,Kaupang,,12.6,1,0,0
32,Jarle Ormsson,Male,22.0,Hirdman,Sjøulven,Iceland,Kaupang,,70.8,1,0,0
33,Finn Ragnarsson,Male,,Thrall,Bison,Iceland,Kaupang,,2.5,0,2,0
34,Aud Ketilsdóttir,Female,37.0,Karl,Hrafnkell,Lindisfarne,Nidaros,,77.7,2,1,1
35,Halvor Torsteinsson,Male,25.0,Hirdman,Sjøulven,Miklagard,Nidaros,,10.8,2,1,0
36,Gudrun Bjørnsdóttir,Female,33.0,Hirdman,Ormen Lange,Lindisfarne,Nidaros,,34.3,0,4,1
37,Gunnhild Ketilsdóttir,Female,21.0,Thrall,Sjøulven,Iceland,Borg,None,17.8,2,2,0
38,Thyra Bjørnsdóttir,Female,17.0,Karl,Ormen Lange,Miklagard,Nidaros,Leather,34.3,1,0,1
39,Jorunn Sigurdsdóttir,Female,28.0,Karl,Sjøulven,Iceland,Nidaros,None,2.0,3,1,0
40,Ragnhild Haraldsdóttir,Female,29.0,Hirdman,Bison,Normandy,Nidaros,None,19.5,2,5,1
41,Thyra Torsteinsdóttir,Female,31.0,Karl,Sjøulven,Miklagard,Nidaros,None,41.1,1,0,0
42,Sven Ulfsson,Male,14.0,Karl,Sjøulven,Miklagard,Nidaros,None,2.0,0,0,0
43,Ingrid Bjørnsdóttir,Female,22.0,Hirdman,Hrafnkell,Iceland,Nidaros,Chainmail,13.2,5,1,1
44,Håkon Ormsson,Male,19.0,Thrall,Drakvinge,Iceland,Borg,None,25.1,2,0,0
45,Erling Bjørnsson,Male,32.0,Karl,Hrafnkell,Miklagard,Kaupang,,16.8,0,3,0
46,Thorvald Grimsson,Male,26.0,Hirdman,Bison,Lindisfarne,Nidaros,,22.3,4,5,1
47,Geir Sigurdsson,Male,29.0,Hirdman,Drakvinge,Normandy,Nidaros,Chainmail,13.2,2,2,1
48,Thorvald Sigurdsson,Male,40.0,Thrall,Bison,Vinland,Borg,None,10.1,0,0,0
49,Erling Ragnarsson,Male,17.0,Karl,Drakvinge,Lindisfarne,Kaupang,None,17.9,0,1,1
50,Gunnhild Ragnarsdóttir,Female,20.0,Hirdman,Ormen Lange,Lindisfarne,Borg,None,75.4,0,6,1
51,Arne Ketilsson,Male,49.0,Karl,Drakvinge,Iceland,Nidaros,Leather,4.1,1,4,0
52,Ragnhild Ragnarsdóttir,Female,36.0,Karl,Ormen Lange,Normandy,Nidaros,Leather,9.6,0,1,1
53,Åsa Arnesdóttir,Female,35.0,Karl,Drakvinge,Lindisfarne,Borg,,9.9,1,1,1
54,Thorvald Ulfsson,Male,31.0,Thrall,Sjøulven,Miklagard,Kaupang,,4.7,1,0,0
55,Sigurd Ulfsson,Male,26.0,Karl,Drakvinge,Vinland,Borg,Leather,17.4,0,1,0
56,Ragnar Grimsson,Male,28.0,Hirdman,Sjøulven,Miklagard,Nidaros,Chainmail,178.1,3,8,1
57,Tove Ulfsdóttir,Female,20.0,Thrall,Ormen Lange,Lindisfarne,Nidaros,,10.4,1,1,1
58,Harald Ormsson,Male,26.0,Thrall,Bison,Lindisfarne,Nidaros,None,6.9,0,0,0
59,Finn Sigurdsson,Male,37.0,Hirdman,Ormen Lange,Vinland,Nidaros,None,8.6,1,5,1
60,Ulf Grimsson,Male,25.0,Karl,Bison,Miklagard,Borg,,3.1,2,3,0
61,Kolbjørn Ulfsson,Male,12.0,Thrall,Drakvinge,Lindisfarne,Nidaros,,3.8,1,0,0
62,Rollo Bjørnsson,Male,25.0,Hirdman,Sjøulven,Normandy,,,12.4,0,6,0
63,Liv Ulfsdóttir,Female,,Hirdman,Bison,Lindisfarne,Nidaros,,2.0,0,3,1
64,Knut Ketilsson,Male,24.0,Hirdman,Drakvinge,Vinland,Nidaros,Leather,21.5,1,6,1
65,Jorunn Torsteinsdóttir,Female,29.0,Hirdman,Bison,Normandy,Borg,,39.5,0,5,1
66,Ivar Sigurdsson,Male,30.0,Hirdman,Bison,Normandy,Nidaros,Leather,16.8,2,7,0
67,Harald Ketilsson,Male,38.0,Hirdman,Drakvinge,Iceland,Kaupang,,41.0,0,4,1
68,Sigurd Ragnarsson,Male,33.0,Hirdman,Hrafnkell,Iceland,Nidaros,Chainmail,2.0,1,5,1
69,Torstein Sigurdsson,Male,,Thrall,Drakvinge,Normandy,Borg,None,2.1,1,0,0
70,Aud Bjørnsdóttir,Female,37.0,Karl,Sjøulven,Miklagard,Kaupang,None,4.1,2,2,0
71,Leif Ulfsson,Male,55.0,Jarl,Ormen Lange,Lindisfarne,Kaupang,Chainmail,46.9,3,4,1
72,Sven Ulfsson,Male,32.0,Karl,Hrafnkell,Iceland,Nidaros,None,2.0,1,2,0
73,Håkon Grimsson,Male,24.0,Karl,Ormen Lange,Vinland,Nidaros,None,17.8,1,2,0
